"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","abund_value","abund_unit","lng","lat","cc","state","county","latlng_basis","latlng_precision","geogscale","geogcomments"
"942738","occ","","","103358","Mammuthus columbi","species","47873","","Mammuthus columbi","species","46017","Late Pleistocene","","0.126","0.0117","35550","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-81.769165","36.957500","US","Virginia","Smyth","stated in text","seconds","local area",""
"1013211","occ","","","123931","Mammuthus sp.","genus","43266","","Mammuthus","genus","43266","Neogene","","23.03","2.588","39887","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-80.566109","40.269722","US","West Virginia","Brooke","based on political unit","seconds","","""Sandpit located 1/4 mile north of the city limits of Follansbee and 3/4 mile east of the Ohio River"""
"1032617","occ","","","126446","Elephas primigenius","species","46027","recombined as","Mammuthus primigenius","species","46027","Pleistocene","","2.588","0.0117","41023","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-75.166664","39.950001","US","Pennsylvania","Philadelphia","based on nearby landmark","minutes","small collection","""on a golf course near Philadelphia"" (basis of coordinate)"
"1034050","occ","","","126660","Elephas columbi","species","46017","recombined as","Mammuthus columbi","species","46017","Pleistocene","","2.588","0.0117","41113","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-77.585556","39.644169","US","Maryland","Washington","","seconds","",""
"1038002","occ","","","127111","Elephas columbi","species","46017","recombined as","Mammuthus columbi","species","46017","Pleistocene","","2.588","0.0117","41304","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-76.138885","38.681946","US","Maryland","Talbot","estimated from map","seconds","outcrop",""
"1196168","occ","","","154722","Mammuthus columbi","species","47873","","Mammuthus columbi","species","46017","Late Pleistocene","","0.126","0.0117","50316","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-80.400002","25.700001","US","Florida","Dade","unpublished field data","1","small collection","Perrine 7.5' Quadrangle, NE1/4 of NW1/4 of section 35, T.55S., R.40E."
"1196426","occ","","","154771","Archidiskodon columbi","species","44252","subjective synonym of, species not entered","Mammuthus","genus","43266","Late Pleistocene","","0.126","0.0117","50335","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-82.699997","27.799999","US","Florida","Pinellas","unpublished field data","1","local area","along banks of Joe's Creek in sections 5 and 6, T.30S., R.16E., St. Petersburg 7.5' Quadrangle"
"1196557","occ","","","74292","Mammuthus columbi","species","47873","","Mammuthus columbi","species","46017","Late Pleistocene","","0.126","0.0117","50339","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-80.599998","28.083332","US","Florida","Brevard","based on nearby landmark","minutes","small collection","""on property owned by"" Singleton ""at Melbourne"" (basis of coordinate)"
"1196558","occ","","","74292","cf. Mammuthus imperator","species","47877","subjective synonym of","Mammuthus columbi","species","46017","Late Pleistocene","","0.126","0.0117","50339","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-80.599998","28.083332","US","Florida","Brevard","based on nearby landmark","minutes","small collection","""on property owned by"" Singleton ""at Melbourne"" (basis of coordinate)"
"1196583","occ","","","154773","Parelephas cf. columbi","species","49983","recombined as","Mammuthus columbi","species","46017","Late Pleistocene","","0.126","0.0117","3131","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-82.788002","29.950001","US","Florida","Columbia","estimated from map","2","","T.6S., R.15E. in Hildreth 7.5' Quadrangle"
"1196906","occ","","","154804","Mammuthus columbi","species","47873","","Mammuthus columbi","species","46017","Late Pleistocene","","0.126","0.0117","50371","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-81.900002","27.170000","US","Florida","De Soto","unpublished field data","2","small collection","Nocatee Quadrangle, T.38S., R.24E., NW1/4 of SE1/4 of Section 15; about 1 mile northwest of Nocatee; Note that in Hulbert et al. (2009) the locality is mistakenly stated to be in section 21, and its name is incorrectly given as Peace River 5A"
"1197791","occ","","","154910","Mammuthus sp.","genus","43266","","Mammuthus","genus","43266","Late Pleistocene","","0.126","0.0117","50427","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-82.599998","29.850000","US","Florida","Alachua","unpublished field data","2","","High Springs 7.5' Quadrangle; SW1/4 of section 27, T.7S., R.17E."
"1197872","occ","","","154921","Mammuthus imperator","species","47877","subjective synonym of","Mammuthus columbi","species","46017","Late Pleistocene","","0.126","0.0117","50430","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-80.166664","26.700001","US","Florida","Palm Beach","stated in text","minutes","",""
"1201165","occ","","","155393","Elephas primigenius","species","46027","recombined as","Mammuthus primigenius","species","46027","Late Pleistocene","","0.126","0.0117","50711","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-122.281998","40.784000","US","California","Shasta","estimated from map","3","small collection","Section 23, T. 34 N., R. 4 W., O'Brien 7.5' Quadrange.  North of Potter Creek"
"1208222","occ","","","156789","Elephas columbi","species","46017","recombined as","Mammuthus columbi","species","46017","Pleistocene","","2.588","0.0117","51404","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-97.427498","28.126944","US","Texas","San Patricio","estimated from map","seconds","","The locality is described as being about 1 mile north of the bridge on which the St. Louis & Brownsville Railroad crosses the Aransas. It is also about 20 miles southwest of Refugio. Nearer is a town named Sinton, and for convenience the collection will be spoken of as from Sinton."
"1243012","occ","","","163820","Elephas primigenius","species","46027","recombined as","Mammuthus primigenius","species","46027","Late Pliocene","","3.6","2.588","53461","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-99.140083","19.910633","MX","México","","based on nearby landmark","6","outcrop","Tequixquiac, N edge of Valley of México, N of the city of México and town of Zimpango (Zumpango), E of Nochistongo forgo"
"1264829","occ","","","168016","Mammuthus sp.","genus","43266","","Mammuthus","genus","43266","Pleistocene","","2.588","0.0117","55016","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-121.818001","36.916000","US","California","Santa Cruz","based on nearby landmark","3","outcrop","Quarry on nearby Buena Vista Drive where the county landfill is today."
"1276231","occ","","","169385","Mammuthus primigenius","species","47880","","Mammuthus primigenius","species","46027","Late Pleistocene","","0.126","0.0117","55350","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-162.130005","66.654999","US","Alaska","","estimated from map","3","outcrop","Coastal bluffs of the Baldwin Peninsula, 35 km southeast of Kotzebue and about 10 km north of the Arctic Circle."
"1315766","occ","","","176608","Mammuthus primigenius","species","47880","","Mammuthus primigenius","species","46027","Late Pleistocene","","0.126","0.0117","58186","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","1","specimens","-88.030281","42.505280","US","Wisconsin","Kenosha","estimated from map","seconds","",""
"1315767","occ","","","176609","Mammuthus primigenius","species","47880","","Mammuthus primigenius","species","46027","Late Pleistocene","","0.126","0.0117","58186","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","1","specimens","-88.030281","42.505280","US","Wisconsin","Kenosha","estimated from map","seconds","",""
"1315768","occ","","","176610","Mammuthus primigenius","species","47880","","Mammuthus primigenius","species","46027","Late Pleistocene","","0.126","0.0117","58186","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","1","specimens","-88.030281","42.505280","US","Wisconsin","Kenosha","estimated from map","seconds","",""
"1315784","occ","","","176611","Mammuthus primigenius","species","47880","","Mammuthus primigenius","species","46027","Late Pleistocene","","0.126","0.0117","58186","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","1","specimens","-88.030281","42.505280","US","Wisconsin","Kenosha","estimated from map","seconds","",""
"1317107","occ","","","84901","Mammuthus exilis","species","47874","","Mammuthus exilis","species","46019","Rancholabrean","","0.3","0.012","58344","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-120.193054","34.005554","US","California","Santa Barbara","estimated from map","seconds","","Santa Rosa Island, NW coast, 300-500 yards inland and about 20 yards back from the edge of the Garanon wave-cut platform"
"1353013","occ","","","183454","Mammuthus columbi","species","47873","","Mammuthus columbi","species","46017","Pleistocene","","2.588","0.0117","61266","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","1","individuals","-121.937225","37.383610","US","California","Santa Clara","unpublished field data","seconds","small collection","""bottom of the Guadalupe River just downstream from the San Jose International Airport and the West Trimble Road overpass, on land managed by the Santa Clara Valley Water District\r\n(SCVWD)"""
"1353020","occ","","","183456","Mammuthus sp.","genus","43266","","Mammuthus","genus","43266","Pleistocene","","2.588","0.0117","61266","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","1","specimens","-121.985001","37.380001","US","California","Santa Clara","unpublished field data","2","small collection","about 100 m northwest of the intersection of Oakmead Parkway and Lakeside Drive, and southeast of the I-101 and Lawrence Expressway interchange in Sunnyvale, CA"
"1353033","occ","","","183460","Mammuthus columbi","species","47873","","Mammuthus columbi","species","46017","Rancholabrean","","0.3","0.012","61266","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-122.013885","37.421112","US","California","Santa Clara","estimated from map","seconds","small collection",""
"1382028","occ","","","189381","Mammuthus columbi","species","47873","","Mammuthus columbi","species","46017","Pleistocene","","2.588","0.0117","63597","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-89.707802","14.998900","GT"," Zacapa","Estanzuela","stated in text","4","",""
"1382029","occ","","","189382","Mammuthus columbi","species","47873","","Mammuthus columbi","species","46017","Pleistocene","","2.588","0.0117","63597","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-89.697502","14.989700","GT"," Zacapa","Teculután","stated in text","4","",""
"1382030","occ","","","189383","Mammuthus columbi","species","47873","","Mammuthus columbi","species","46017","Pleistocene","","2.588","0.0117","63597","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-90.189201","16.531401","GT","El Petén","Sayaxché","stated in text","4","",""
"1382031","occ","","","189384","Mammuthus columbi","species","47873","","Mammuthus columbi","species","46017","Pleistocene","","2.588","0.0117","63597","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-90.499397","14.700000","GT","Guatemala"," Chinautla","stated in text","4","","The location was reported as 14.0700N in the reference article.  This appear to be a typographical error, that should in fact read 14.7000N in order to align with the description of Chinautla, Depertmento Guatemala."
"1385004","occ","","","190076","Mammuthus columbi","species","47873","","Mammuthus columbi","species","46017","Middle Pleistocene","","0.781","0.126","63917","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","1","specimens","-110.559998","32.529999","US","Arizona","","","2","","The Cerros Negros locality (UALP A 65) is in Pinal County, Arizona (Fig. 1; 32.53°N, 110.56°W)"
"1385017","occ","","","190079","Mammuthus primigenius","species","47880","","Mammuthus primigenius","species","46027","Pleistocene","","2.588","0.0117","63921","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-113.144501","49.341202","CA","Alberta","","","4","",""
"1385045","occ","","","190088","Mammuthus columbi","species","47873","","Mammuthus columbi","species","46017","Quaternary","","2.588","0","63929","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-97.670830","18.195557","MX","Santiago Chazumba","Oaxaca","","seconds","",""
"1385051","occ","","","190089","Mammuthus columbi","species","47873","","Mammuthus columbi","species","46017","Pleistocene","","2.588","0.0117","63929","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-97.670830","18.195557","MX","Santiago chazumba","Oaxaca","","seconds","","17 m north of Chazumba I."
"1385128","occ","","","190115","Mammuthus columbi","species","47873","","Mammuthus columbi","species","46017","Late Pleistocene","","0.126","0.0117","63932","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-98.623055","20.050833","MX","Hidalgo","","","seconds","",""
"1385180","occ","","","190114","Mammuthus columbi","species","47873","","Mammuthus columbi","species","46017","Late Pleistocene","","0.126","0.0117","63840","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-98.333336","20.016666","MX","Hidalgo","","","minutes","",""
"1385196","occ","","","190116","Mammuthus columbi","species","47873","","Mammuthus columbi","species","46017","Late Pleistocene","","0.126","0.0117","63840","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-98.633057","20.000000","MX","Hidalgo","","","seconds","",""
"1386045","occ","","","190387","Elephas columbi","species","46017","recombined as","Mammuthus columbi","species","46017","Pleistocene","","2.588","0.0117","24940","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-97.340836","31.099443","US","Texas","Bell","based on nearby landmark","seconds","",""
"1386647","occ","","","190543","Elephas (Euelephas) n. sp. imperator","species","46022","subjective synonym of","Mammuthus columbi","species","46017","Miocene","","23.03","5.333","59118","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-102.500000","42.700001","US","Nebraska","Sheridan","based on political unit","1","","'During the Exploring Expedition of the last year in Nebraska, under the command of Lieut. G. K. Warren, the Geologist of the Expedition, Dr. F. V. Hayden collected a number of remains of mammals and turtles, from a deposit, in the valley of the Niobrara River (Swift-running-water; L'eau-qui-court), which he suspects to be of pliocene age. The collection is an exceedingly in- teresting and important one; and the anatomical characters of the specimens support the opinion of their discoverer, that the formation, from which they were obtained, belongs to the later tertiary period."
"1387568","occ","","","190753","Mammuthus cf. columbi","species","47873","","Mammuthus columbi","species","46017","Late Pleistocene","","0.126","0.0117","3575","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-87.650002","14.477778","HN","","","based on nearby landmark","seconds","","The late Pleistocene Orillas del Humuya locality is exposed at an elevation of about 600 m in the cutbank of the Rio Humuya , 3 km south of the bridge for th e Carretera N acional north of the city of Comay agua, in the cent ral graben of Honduras (Fig. 1)."
"1391726","occ","","","20498","Elephas primigenius","species","46027","recombined as","Mammuthus primigenius","species","46027","Irvingtonian","","1.8","0.3","53742","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-101.300003","34.500000","US","Texas","Briscoe","based on political unit","1","",""
